basename,measurement,distance,x_max
M2_ABS_10m_Ahorn_XXL_IR.las,2,10m,53.54108361788885
M2_ABS_27m_Ahorn_XXL_IR.las,2,27m,59.10189662772811
M3_ABS_10m_Ahorn_XXL_IR.las,3,10m,59.99761361865577
M3_ABS_27m_Ahorn_XXL_IR.las,3,27m,61.73812282852754
M1_ABS_10m_Ahorn_gross_IR.las,1,10m,64.47006397537812
M1_ABS_27m_Ahorn_gross_IR.las,1,27m,56.50680225846285
M2_ABS_10m_Ahorn_gross_IR.las,2,10m,63.99524682658469
M2_ABS_27m_Ahorn_gross_IR.las,2,27m,68.68921305149972
M3_ABS_10m_Ahorn_gross_IR.las,3,10m,67.46315706195716
M3_ABS_27m_Ahorn_gross_IR.las,3,27m,67.35281064333563
M1_ABS_10m_Ahorn_klein_IR.las,1,10m,62.63353047648031
M1_ABS_27m_Ahorn_klein_IR.las,1,27m,58.60401840248184
M2_ABS_10m_Ahorn_klein_IR.las,2,10m,62.425264368535046
M2_ABS_27m_Ahorn_klein_IR.las,2,27m,65.37579244449286
M3_ABS_10m_Ahorn_klein_IR.las,3,10m,61.46040251959302
M3_ABS_27m_Ahorn_klein_IR.las,3,27m,64.94106791356761
M1_ABS_10m_Linde1_IR.las,1,10m,74.31157387024415
M1_ABS_27m_Linde1_IR.las,1,27m,66.67782144137519
M2_ABS_10m_Linde1_IR.las,2,10m,70.81257637421449
M2_ABS_27m_Linde1_IR.las,2,27m,74.47928795074891
M3_ABS_10m_Linde1_IR.las,3,10m,71.17178098674766
M3_ABS_27m_Linde1_IR.las,3,27m,76.16438112981334
M1_ABS_10m_Linde2_IR.las,1,10m,67.71514057396409
M1_ABS_27m_Linde2_IR.las,1,27m,62.01689591509068
M2_ABS_10m_Linde2_IR.las,2,10m,74.22930326824914
M2_ABS_27m_Linde2_IR.las,2,27m,77.75601689080676
M3_ABS_10m_Linde2_IR.las,3,10m,75.25042670163937
M3_ABS_27m_Linde2_IR.las,3,27m,78.23043981502434
M2_ABS_10m_Linde3_IR.las,2,10m,72.8022210896708
M2_ABS_27m_Linde3_IR.las,2,27m,75.94746607319864
M3_ABS_10m_Linde3_IR.las,3,10m,74.04932312531557
M3_ABS_27m_Linde3_IR.las,3,27m,73.99855979720672
