,filename,measurement,distance,mean_intensity_corr,median_intensity_corr,leaf_kind,mes1,mes2,mes3,wc
0,measurements/250522/leaves/ahornxxl/2Meas_10m_leafCorr_int_cropped_ahornxxl.las,2,10m,31.18388998228155,30.527359008789062,ahorn-xxl,0.0085118480499124,0.0083781541014844,0.0041675630820296,0.0083781541014844
1,measurements/250522/leaves/ahornxxl/2Meas_27m_leafCorr_int_cropped_ahornxxl.las,2,27m,35.20421474641213,34.25161361694336,ahorn-xxl,0.0085118480499124,0.0083781541014844,0.0041675630820296,0.0083781541014844
2,measurements/250522/leaves/ahornxxl/3Meas_10m_leaf_boxCorr_int_ahornxxl.las,3,10m,40.33146444086358,40.084468841552734,ahorn-xxl,0.0085118480499124,0.0083781541014844,0.0041675630820296,0.0041675630820296
4,measurements/250522/leaves/ahornxxl/3Meas_27m_leaf_boxCorr_int_ahornxxl.las,3,27m,44.41029116686653,42.13401794433594,ahorn-xxl,0.0085118480499124,0.0083781541014844,0.0041675630820296,0.0041675630820296
6,measurements/250522/leaves/ahorn_gross/1Meas_27m_leaf_boxCorr_int_ahorn_gross.las,1,27m,38.35950068875525,37.75920486450195,ahorn-gross,0.0072119341563786,0.0004156378600823,6.172839506172891e-05,0.0072119341563786
7,measurements/250522/leaves/ahorn_gross/1Mes_10m_leaf_frontCorr_int_ahorn_gross.las,1,10m,36.578865580362816,36.120391845703125,ahorn-gross,0.0072119341563786,0.0004156378600823,6.172839506172891e-05,0.0072119341563786
8,measurements/250522/leaves/ahorn_gross/2Meas_10m_leafCorr_int_cropped_ahorn_gross.las,2,10m,47.69733438812581,47.97083282470703,ahorn-gross,0.0072119341563786,0.0004156378600823,6.172839506172891e-05,0.0004156378600823
9,measurements/250522/leaves/ahorn_gross/2Meas_27m_leafCorr_int_cropped_ahorn_gross.las,2,27m,50.31544407158141,50.671363830566406,ahorn-gross,0.0072119341563786,0.0004156378600823,6.172839506172891e-05,0.0004156378600823
10,measurements/250522/leaves/ahorn_gross/3Meas_10m_leaf_boxCorr_int_ahorngross.las,3,10m,50.39405561359396,50.15022277832031,ahorn-gross,0.0072119341563786,0.0004156378600823,6.172839506172891e-05,6.172839506172891e-05
11,measurements/250522/leaves/ahorn_gross/3Meas_27m_leaf_boxCorr_int_ahorn_gross.las,3,27m,53.40999598380847,52.85345458984375,ahorn-gross,0.0072119341563786,0.0004156378600823,6.172839506172891e-05,6.172839506172891e-05
12,measurements/250522/leaves/ahorn_klein/1Meas_10m_leaf_frontCorr_int_ahorn_klein.las,1,10m,38.64742022210901,37.97088623046875,ahorn-klein,0.0055161082096121,0.0001525732057977,2.3472800891966456e-05,0.0055161082096121
13,measurements/250522/leaves/ahorn_klein/1Meas_27m_leaf_boxCorr_int_ahorn_klein.las,1,27m,40.658784210987584,40.4642219543457,ahorn-klein,0.0055161082096121,0.0001525732057977,2.3472800891966456e-05,0.0055161082096121
14,measurements/250522/leaves/ahorn_klein/2Meas_10m_leafCorr_int_cropped_ahorn_klein.las,2,10m,47.82764007624754,47.97083282470703,ahorn-klein,0.0055161082096121,0.0001525732057977,2.3472800891966456e-05,0.0001525732057977
15,measurements/250522/leaves/ahorn_klein/2Meas_27m_leafCorr_int_cropped_ahorn_klein.las,2,27m,51.995245779714274,51.765872955322266,ahorn-klein,0.0055161082096121,0.0001525732057977,2.3472800891966456e-05,0.0001525732057977
